Zip,murderCount,robberyCount,burglaryCount,autoTheftCount,aggAssaultCount,theftCount,x_coordinate,y_coordinate
78613,0,7,8,6,1,366,30.5119,-97.8178
78617,0,6,53,24,26,166,30.1472,-97.5897
78652,0,0,2,0,0,11,30.1359,-97.8776
78653,0,1,4,1,1,19,30.3332,-97.5464
78660,0,3,16,7,6,82,30.4332,-97.6006
78701,1,89,79,72,105,1718,30.2729,-97.7444
78702,3,52,208,81,98,1211,30.2604,-97.7145
78703,0,8,78,23,10,610,30.2915,-97.7688
78704,0,44,293,157,79,1974,30.2457,-97.7688
78705,1,15,108,78,34,1097,30.2962,-97.739
78712,0,1,0,0,0,2,30.2835,-97.7349
78717,0,1,41,8,10,176,30.4917,-97.7743
78719,0,0,2,37,3,144,30.159,-97.6819
78721,1,14,102,23,50,288,30.2737,-97.6819
78722,0,12,39,23,16,239,30.292,-97.7118
78723,1,73,331,94,128,1472,30.3081,-97.6819
78724,0,22,104,37,65,320,30.2944,-97.6223
78725,0,1,4,1,2,36,30.2317,-97.6168
78726,0,8,34,9,10,171,30.4191,-97.8395
78727,0,4,97,27,23,383,30.4322,-97.7145
78728,0,0,0,0,1,12,30.4571,-97.6819
78729,0,9,68,25,19,368,30.4647,-97.7471
78730,0,0,5,2,1,39,30.3733,-97.8395
78731,1,3,58,17,11,471,30.3542,-97.7743
78732,0,0,0,0,0,1,30.3789,-97.8924
78733,0,0,0,0,0,1,30.3315,-97.8667
78735,0,2,59,14,22,200,30.2573,-97.8613
78736,0,0,18,1,3,49,30.2521,-97.9484
78737,0,0,0,0,2,2,30.182,-97.9702
78739,0,0,19,7,0,157,30.1859,-97.9048
78741,1,128,429,162,239,1960,30.2259,-97.7145
78742,0,2,5,2,4,17,30.2406,-97.6602
78744,2,51,312,131,142,1256,30.18,-97.73
78745,4,34,377,143,141,1699,30.2154,-97.796
78746,0,10,54,32,5,710,30.2962,-97.8299
78747,0,1,75,18,21,156,30.1275,-97.7308
78748,0,21,137,58,41,1266,30.1682,-97.8178
78749,0,11,71,40,28,685,30.2175,-97.8558
78750,0,3,59,10,13,324,30.4271,-97.8014
78751,0,14,95,51,24,728,30.3056,-97.7254
78752,3,45,175,86,81,770,30.3317,-97.7052
78753,3,100,449,170,183,2526,30.389,-97.6711
78754,1,3,90,24,21,280,30.3559,-97.6494
78756,0,5,65,17,6,257,30.3248,-97.739
78757,0,19,157,61,35,908,30.3568,-97.7308
78758,1,93,365,176,165,1721,30.3871,-97.7037
78759,0,16,175,53,24,1128,30.4014,-97.7525
